nom,prenom,prenom_arab,nom_arab,tele_num,profile_image,matricule,sexe,actif,diplome,date_naissance,date_inscription,lieu_naissance,cin,adresse,groupe_id,niveaux_scolaire_id,nationalite_id
nom 1,prenom 1,prenom_arab 1,nom_arab 1,tele_num 1,profile_image 1,matricule 1,sexe 1,actif 1,diplome 1,date_naissance 1,date_inscription 1,lieu_naissance 1,cin 1,adresse 1,groupe_id 1,niveaux_scolaire_id 1,nationalite_id 1
nom 2,prenom 2,prenom_arab 2,nom_arab 2,tele_num 2,profile_image 2,matricule 2,sexe 2,actif 2,diplome 2,date_naissance 2,date_inscription 2,lieu_naissance 2,cin 2,adresse 2,groupe_id 2,niveaux_scolaire_id 2,nationalite_id 2
nom 3,prenom 3,prenom_arab 3,nom_arab 3,tele_num 3,profile_image 3,matricule 3,sexe 3,actif 3,diplome 3,date_naissance 3,date_inscription 3,lieu_naissance 3,cin 3,adresse 3,groupe_id 3,niveaux_scolaire_id 3,nationalite_id 3
nom 4,prenom 4,prenom_arab 4,nom_arab 4,tele_num 4,profile_image 4,matricule 4,sexe 4,actif 4,diplome 4,date_naissance 4,date_inscription 4,lieu_naissance 4,cin 4,adresse 4,groupe_id 4,niveaux_scolaire_id 4,nationalite_id 4
nom 5,prenom 5,prenom_arab 5,nom_arab 5,tele_num 5,profile_image 5,matricule 5,sexe 5,actif 5,diplome 5,date_naissance 5,date_inscription 5,lieu_naissance 5,cin 5,adresse 5,groupe_id 5,niveaux_scolaire_id 5,nationalite_id 5
nom 6,prenom 6,prenom_arab 6,nom_arab 6,tele_num 6,profile_image 6,matricule 6,sexe 6,actif 6,diplome 6,date_naissance 6,date_inscription 6,lieu_naissance 6,cin 6,adresse 6,groupe_id 6,niveaux_scolaire_id 6,nationalite_id 6
nom 7,prenom 7,prenom_arab 7,nom_arab 7,tele_num 7,profile_image 7,matricule 7,sexe 7,actif 7,diplome 7,date_naissance 7,date_inscription 7,lieu_naissance 7,cin 7,adresse 7,groupe_id 7,niveaux_scolaire_id 7,nationalite_id 7
nom 8,prenom 8,prenom_arab 8,nom_arab 8,tele_num 8,profile_image 8,matricule 8,sexe 8,actif 8,diplome 8,date_naissance 8,date_inscription 8,lieu_naissance 8,cin 8,adresse 8,groupe_id 8,niveaux_scolaire_id 8,nationalite_id 8
nom 9,prenom 9,prenom_arab 9,nom_arab 9,tele_num 9,profile_image 9,matricule 9,sexe 9,actif 9,diplome 9,date_naissance 9,date_inscription 9,lieu_naissance 9,cin 9,adresse 9,groupe_id 9,niveaux_scolaire_id 9,nationalite_id 9
nom 10,prenom 10,prenom_arab 10,nom_arab 10,tele_num 10,profile_image 10,matricule 10,sexe 10,actif 10,diplome 10,date_naissance 10,date_inscription 10,lieu_naissance 10,cin 10,adresse 10,groupe_id 10,niveaux_scolaire_id 10,nationalite_id 10
nom 11,prenom 11,prenom_arab 11,nom_arab 11,tele_num 11,profile_image 11,matricule 11,sexe 11,actif 11,diplome 11,date_naissance 11,date_inscription 11,lieu_naissance 11,cin 11,adresse 11,groupe_id 11,niveaux_scolaire_id 11,nationalite_id 11
nom 12,prenom 12,prenom_arab 12,nom_arab 12,tele_num 12,profile_image 12,matricule 12,sexe 12,actif 12,diplome 12,date_naissance 12,date_inscription 12,lieu_naissance 12,cin 12,adresse 12,groupe_id 12,niveaux_scolaire_id 12,nationalite_id 12
nom 13,prenom 13,prenom_arab 13,nom_arab 13,tele_num 13,profile_image 13,matricule 13,sexe 13,actif 13,diplome 13,date_naissance 13,date_inscription 13,lieu_naissance 13,cin 13,adresse 13,groupe_id 13,niveaux_scolaire_id 13,nationalite_id 13
nom 14,prenom 14,prenom_arab 14,nom_arab 14,tele_num 14,profile_image 14,matricule 14,sexe 14,actif 14,diplome 14,date_naissance 14,date_inscription 14,lieu_naissance 14,cin 14,adresse 14,groupe_id 14,niveaux_scolaire_id 14,nationalite_id 14
nom 15,prenom 15,prenom_arab 15,nom_arab 15,tele_num 15,profile_image 15,matricule 15,sexe 15,actif 15,diplome 15,date_naissance 15,date_inscription 15,lieu_naissance 15,cin 15,adresse 15,groupe_id 15,niveaux_scolaire_id 15,nationalite_id 15
nom 16,prenom 16,prenom_arab 16,nom_arab 16,tele_num 16,profile_image 16,matricule 16,sexe 16,actif 16,diplome 16,date_naissance 16,date_inscription 16,lieu_naissance 16,cin 16,adresse 16,groupe_id 16,niveaux_scolaire_id 16,nationalite_id 16
nom 17,prenom 17,prenom_arab 17,nom_arab 17,tele_num 17,profile_image 17,matricule 17,sexe 17,actif 17,diplome 17,date_naissance 17,date_inscription 17,lieu_naissance 17,cin 17,adresse 17,groupe_id 17,niveaux_scolaire_id 17,nationalite_id 17
nom 18,prenom 18,prenom_arab 18,nom_arab 18,tele_num 18,profile_image 18,matricule 18,sexe 18,actif 18,diplome 18,date_naissance 18,date_inscription 18,lieu_naissance 18,cin 18,adresse 18,groupe_id 18,niveaux_scolaire_id 18,nationalite_id 18
nom 19,prenom 19,prenom_arab 19,nom_arab 19,tele_num 19,profile_image 19,matricule 19,sexe 19,actif 19,diplome 19,date_naissance 19,date_inscription 19,lieu_naissance 19,cin 19,adresse 19,groupe_id 19,niveaux_scolaire_id 19,nationalite_id 19
nom 20,prenom 20,prenom_arab 20,nom_arab 20,tele_num 20,profile_image 20,matricule 20,sexe 20,actif 20,diplome 20,date_naissance 20,date_inscription 20,lieu_naissance 20,cin 20,adresse 20,groupe_id 20,niveaux_scolaire_id 20,nationalite_id 20
