"ordre","code","titre","sous_titre","competence_reference","lien","description","reference"
"1","T.1","Comprendre la démarche pédagogique à Solicode","Découvrir la pédagogie active et la méthode Solicode","DWB-M105-T1","https://solicode-web-mobile.github.io/autoformations-web/demarche-pedagogique-solicode/","Introduction aux principes de la pédagogie active de Solicode. ","DWB-T.1"
"2","T.2","Collaboration & posture professionnelle","Adopter une posture collaborative et agile","DWB-M107-T2","https://solicode-web-mobile.github.io/autoformations-web/collaboration-posture-professionnelle/","Apprendre à collaborer efficacement dans un cadre professionnel. ","DWB-T.2"
"3","T.3","Git & GitHub","Gérer un projet avec Git et GitHub","DWB-M107-T3","https://solicode-web-mobile.github.io/autoformations-web/git-github/","Utiliser Git et GitHub pour gérer les versions et collaborer.","DWB-T.3"
"4","1.1","Comprendre le maquettage","Découvrir le rôle du maquettage dans un projet web","DWB-M106-C1","https://solicode-web-mobile.github.io/autoformations-web/comprendre-maquettage/","Découvrir les bases du maquettage et son rôle dans la conception. ","DWB-1.1"
"5","1.2","Concevoir avec UX/UI","Appliquer les principes UX et UI dans la conception","DWB-M106-C1","https://solicode-web-mobile.github.io/autoformations-web/concevoir-ux-ui/","Appliquer les notions UX/UI pour améliorer les interfaces. ","DWB-1.2"
"6","2.1","Structurer le HTML","Maîtriser la structure et la sémantique HTML","DWB-M108-C2","https://solicode-web-mobile.github.io/autoformations-web/structurer-html/","Apprendre à structurer une page HTML correctement. ","DWB-2.1"
"7","2.2","Styliser avec CSS","Mettre en forme une interface web avec CSS","DWB-M108-C2","https://solicode-web-mobile.github.io/autoformations-web/styliser-css/","Utiliser CSS pour mettre en forme et styliser les pages web. ","DWB-2.2"
"8","3.1","JavaScript : Premiers pas","Découvrir les bases du langage JavaScript","DWB-M108-C3","https://solicode-web-mobile.github.io/autoformations-web/javascript-premiers-pas/","Découvrir les bases de JavaScript pour créer des interactions. ","DWB-3.1"
"9","3.2","JavaScript : Aller plus loin","Approfondir les concepts et APIs JavaScript","DWB-M108-C3","https://solicode-web-mobile.github.io/autoformations-web/javascript-aller-plus-loin/","Approfondir JavaScript pour manipuler les données et APIs. ","DWB-3.2"
"10","4.1","Démarrer avec WordPress","Installer et configurer un site WordPress","DWB-M110-C4","https://solicode-web-mobile.github.io/autoformations-web/demarrer-wordpress/","Apprendre les fondamentaux de WordPress pour créer un site. ","DWB-4.1"
"11","5.1","Concevoir une base relationnelle","Modéliser et créer une base SQL","DWB-M109-C5","https://solicode-web-mobile.github.io/autoformations-web/concevoir-base-relationnelle/","Concevoir et modéliser une base de données relationnelle. ","DWB-5.1"
"12","5.2","Requêtes et manipulation SQL","Lire et manipuler des données SQL","DWB-M109-C5","https://solicode-web-mobile.github.io/autoformations-web/requetes-manipulation-sql/","Maîtriser les requêtes SQL pour interroger et modifier les données. ","DWB-5.2"
"13","6.1","Connecter une application à une base de données","Connexion et requêtes sécurisées avec PDO","DWB-M109-C6","https://solicode-web-mobile.github.io/autoformations-web/connecter-application-bdd/","Apprendre à connecter une application à une base de données via PDO. ","DWB-6.1"
"14","7.1","Bases et logique PHP","Découvrir la syntaxe et la logique en PHP","DWB-M109-C7","https://solicode-web-mobile.github.io/autoformations-web/bases-logique-php/","Découvrir la syntaxe et les bases de la logique PHP. ","DWB-7.1"
"15","7.2","Formulaires et navigation sécurisée","Gérer les formulaires et les sessions en PHP","DWB-M109-C7","https://solicode-web-mobile.github.io/autoformations-web/formulaires-navigation-securisee/","Gérer les formulaires et sécuriser la navigation en PHP. ","DWB-7.2"
"16","7.3","Programmation orientée objet","Découvrir la POO en PHP","DWB-M109-C7","https://solicode-web-mobile.github.io/autoformations-web/programmation-orientee-objet/","Maîtriser les concepts de base de la POO avec PHP. ","DWB-7.3"
"17","8.1","Découvrir React","Créer des composants interactifs avec React","DWB-M108-C8","https://solicode-web-mobile.github.io/autoformations-web/c8-decouvrir-react/","Introduction à React et ses composants fondamentaux. ","DWB-8.1"
